iso1,iso2,group,community
-23.53921,12.30454,2,7
-22.28665,12.35936,2,7
-22.5219345,12.00153,2,7
-23.00949,11.50812,2,7
-24.45141,11.37102,2,7
-25.21585,11.112,2,7
-23.5978392,11.92776,2,7
-22.45075,11.89476,2,7
-23.0438701,12.15121,2,7
-23.2044889,12.65341,2,7
-22.86477,12.29939,2,7
-21.93146,14.15114,2,7
-21.501645,12.14256,2,7
-25.54639,11.54394,2,7
-22.02433,12.18057,2,7
-22.5992454,11.98438,2,7
-22.6404925,12.50705,2,7
-24.2371996,11.68304,2,7
-23.6702316,11.82719,2,7
-22.4398614,12.56825,2,7
-23.84542,11.70208,2,7
-22.4295,12.48882,2,7
-23.0015828,12.23906,2,7
-22.4815762,12.28403,2,7
-22.70162,12.49273,2,7
-21.0058046,13.03789,2,7
-21.9004237,12.04738,2,7
-23.96867,12.00046,2,7
-21.2434438,13.06575,2,7
-20.10508,13.01527,2,7
-21.2670213,12.56728,2,7
-20.37016,12.85481,2,7
-22.63904,13.91977,1,8
-22.45879,13.58996,1,8
-22.19588,13.49057,1,8
-24.37217,12.95489,1,8
-22.32654,12.76992,1,8
-23.58569,11.34786,2,8
-25.77122,10.5362,2,8
-24.11091,11.97258,2,8
-25.75057,10.85634,2,8
-23.5231,12.47805,2,8
-24.76637,11.8437,2,8
-24.26998,11.69004,2,8
-23.11647,11.93801,2,8
-23.187352,10.84197,2,8
-23.32626,12.32567,2,8
-23.31777,12.373,2,8
-23.27056,12.19023,2,8
-24.23659,11.66447,2,8
-22.78215,12.08391,2,8
-24.87078,12.34509,2,8
-24.10413,12.27523,2,8
-22.3122,12.37899,2,8
-24.60554,11.36525,2,8
-22.71576,12.30386,2,8
-24.09392,12.14099,2,8
-22.94945,12.86254,2,8
-23.5322,12.35629,2,8
-24.33367,12.21036,2,8
-23.55748,12.74928,2,8
-24.10898,12.43968,2,8
-22.86735,12.72447,2,8
-23.78899,12.76758,2,8
-23.97088,12.87883,2,8
-23.12289,12.41871,2,8
-23.36476,12.3321,2,8
-23.16919,12.14511,2,8
-24.56849,11.878,2,8
-22.43773,12.71564,2,8
-23.2272,12.28875,2,8
-23.32621,12.72835,2,8
-23.50204,12.70756,2,8
-22.55116,12.64322,2,8
-22.62254,12.95062,2,8
-23.18014,12.41921,2,8
-22.36442,12.85194,2,8
-22.15075,12.54077,2,8
-23.09326,13.19904,2,8
-24.12127,11.84667,2,8
-21.95458,12.91709,2,8
-22.56379,13.73838,2,8
-23.65218,12.67173,2,8
-21.1711,12.85249,2,8
-24.68299,13.18507,1,9
-24.0873365,12.62717,1,9
-23.76849,13.02951,1,9
-26.62655,12.05045,1,9
-23.19893,13.00257,1,9
-25.79866,12.40559,1,9
-24.9066907,12.45011,1,9
-23.01583,13.77954,1,9
-24.7709,12.65811,1,9
-27.4981,12.49425,1,9
-24.02471,14.25065,1,9
-22.75377,13.29158,1,9
-26.5378,12.72386,1,9
-25.33408,12.24046,1,9
-27.64813,9.72887,2,9
